series_id,year,period,value
CIU2010000200000I,2014,Q03,121.1
CIU2010000200000I,2014,Q02,120.5
CIU2010000200000I,2014,Q01,119.3
CIU2010000200000I,2013,Q04,119.0
CIU2010000200000I,2013,Q03,118.4
CIU2010000200000I,2013,Q02,118.0
CIU2010000200000I,2013,Q01,117.2
CIU2010000200000I,2012,Q04,116.3
CIU2010000200000I,2012,Q03,116.2
CIU2010000200000I,2012,Q02,115.9
CIU2010000200000I,2012,Q01,115.0
CIU2010000200000I,2011,Q04,114.2
CIU2010000200000I,2011,Q03,113.8
CIU2010000200000I,2011,Q02,113.3
CIU2010000200000I,2011,Q01,112.1
CIU2010000200000I,2010,Q04,111.6
CIU2010000200000I,2010,Q03,111.1
CIU2010000200000I,2010,Q02,110.8
CIU2010000200000I,2010,Q01,109.8
CIU2010000200000Q,2024,Q04,0.7
CIU2010000200000Q,2024,Q03,0.4
CIU2010000200000Q,2024,Q02,0.4
CIU2010000200000Q,2024,Q01,1.6
CIU2010000200000Q,2023,Q04,0.7
CIU2010000200000Q,2023,Q03,0.6
CIU2010000200000Q,2023,Q02,1.1
CIU2010000200000Q,2023,Q01,1.4
CIU2010000200000Q,2022,Q04,1.1
CIU2010000200000Q,2022,Q03,1.0
CIU2010000200000Q,2022,Q02,2.1
CIU2010000200000Q,2022,Q01,1.8
CIU2010000200000Q,2021,Q04,0.9
CIU2010000200000Q,2021,Q03,1.3
CIU2010000200000Q,2021,Q02,0.3
CIU2010000200000Q,2021,Q01,2.0
CIU2010000200000Q,2020,Q04,0.9
CIU2010000200000Q,2020,Q03,0.3
CIU2010000200000Q,2020,Q02,0.6
CIU2010000200000Q,2020,Q01,1.3
CIU2010000200000Q,2019,Q04,0.3
CIU2010000200000Q,2019,Q03,0.9
CIU2010000200000Q,2019,Q02,0.5
CIU2010000200000Q,2019,Q01,1.0
CIU2010000200000Q,2018,Q04,0.4
CIU2010000200000Q,2018,Q03,0.9
CIU2010000200000Q,2018,Q02,0.9
CIU2010000200000Q,2018,Q01,1.5
CIU2010000200000Q,2017,Q04,0.2
CIU2010000200000Q,2017,Q03,0.9
CIU2010000200000Q,2017,Q02,0.5
CIU2010000200000Q,2017,Q01,1.0
CIU2010000200000Q,2016,Q04,0.1
CIU2010000200000Q,2016,Q03,0.1
CIU2010000200000Q,2016,Q02,1.2
CIU2010000200000Q,2016,Q01,1.0
CIU2010000200000Q,2015,Q04,0.2
CIU2010000200000Q,2015,Q03,0.7
CIU2010000200000Q,2015,Q02,-0.5
CIU2010000200000Q,2015,Q01,1.2
CIU2010000200000Q,2014,Q04,0.7
CIU2010000200000Q,2014,Q03,0.5
CIU2010000200000Q,2014,Q02,1.0
CIU2010000200000Q,2014,Q01,0.3
CIU2010000200000Q,2013,Q04,0.5
CIU2010000200000Q,2013,Q03,0.3
CIU2010000200000Q,2013,Q02,0.7
CIU2010000200000Q,2013,Q01,0.8
CIU2010000200000Q,2012,Q04,0.1
CIU2010000200000Q,2012,Q03,0.3
CIU2010000200000Q,2012,Q02,0.8
CIU2010000200000Q,2012,Q01,0.7
CIU2010000200000Q,2011,Q04,0.4
CIU2010000200000Q,2011,Q03,0.4
CIU2010000200000Q,2011,Q02,1.1
CIU2010000200000Q,2011,Q01,0.4
CIU2010000200000Q,2010,Q04,0.5
CIU2010000200000Q,2010,Q03,0.3
CIU2010000200000Q,2010,Q02,0.9
CIU2010000200000Q,2010,Q01,0.5
CIU2010000300000A,2024,Q04,4.2
CIU2010000300000A,2024,Q03,4.1
CIU2010000300000A,2024,Q02,4.2
CIU2010000300000A,2024,Q01,3.9
CIU2010000300000A,2023,Q04,4.0
CIU2010000300000A,2023,Q03,4.5
CIU2010000300000A,2023,Q02,5.3
CIU2010000300000A,2023,Q01,6.0
CIU2010000300000A,2022,Q04,6.9
CIU2010000300000A,2022,Q03,7.7
CIU2010000300000A,2022,Q02,8.0
CIU2010000300000A,2022,Q01,7.8
CIU2010000300000A,2021,Q04,7.1
CIU2010000300000A,2021,Q03,6.1
CIU2010000300000A,2021,Q02,4.8
CIU2010000300000A,2021,Q01,3.9
CIU2010000300000A,2020,Q04,3.6
CIU2010000300000A,2020,Q03,3.7
CIU2010000300000A,2020,Q02,3.4
CIU2010000300000A,2020,Q01,3.6
CIU2010000300000A,2019,Q04,3.7
CIU2010000300000A,2019,Q03,3.5
CIU2010000300000A,2019,Q02,3.7
CIU2010000300000A,2019,Q01,3.4
CIU2010000300000A,2018,Q04,3.6
CIU2010000300000A,2018,Q03,3.5
CIU2010000300000A,2018,Q02,3.3
CIU2010000300000A,2018,Q01,3.2
CIU2010000300000A,2017,Q04,2.9
CIU2010000300000A,2017,Q03,2.8
CIU2010000300000A,2017,Q02,2.9
CIU2010000300000A,2017,Q01,3.4
CIU2010000300000A,2016,Q04,3.2
CIU2010000300000A,2016,Q03,3.2
CIU2010000300000A,2016,Q02,2.8
CIU2010000300000A,2016,Q01,2.0
CIU2010000300000A,2015,Q04,1.7
CIU2010000300000A,2015,Q03,1.7
CIU2010000300000A,2015,Q02,2.1
CIU2010000300000A,2015,Q01,2.3
CIU2010000300000A,2014,Q04,1.8
CIU2010000300000A,2014,Q03,1.8
CIU2010000300000A,2014,Q02,1.1
CIU2010000300000A,2014,Q01,1.1
CIU2010000300000A,2013,Q04,1.4
CIU2010000300000A,2013,Q03,1.4
CIU2010000300000A,2013,Q02,1.6
CIU2010000300000A,2013,Q01,1.6
CIU2010000300000A,2012,Q04,1.7
CIU2010000300000A,2012,Q03,1.6
CIU2010000300000A,2012,Q02,1.5
CIU2010000300000A,2012,Q01,1.3
CIU2010000300000A,2011,Q04,1.7
CIU2010000300000A,2011,Q03,1.5
CIU2010000300000A,2011,Q02,1.8
CIU2010000300000A,2011,Q01,1.9
CIU2010000300000A,2010,Q04,1.5
CIU2010000300000A,2010,Q03,1.4
CIU2010000300000A,2010,Q02,1.6
CIU2010000300000A,2010,Q01,1.5
CIU2010000300000I,2024,Q04,180.5
CIU2010000300000I,2024,Q03,179.3
CIU2010000300000I,2024,Q02,177.8
CIU2010000300000I,2024,Q01,175.6
